weekday,rider_count,tipper_count,tipper_percentage
Monday,79013,19779,25.032589573867593
Tuesday,82576,20898,25.307595427242784
Wednesday,88034,22691,25.775268646204875
Thursday,95721,24210,25.29225561788949
Friday,115923,29256,25.23744209518387
Saturday,132872,33215,24.997742187970378
Sunday,96959,23294,24.024587712332014
